seller_id,seller_zip_code_prefix,seller_city,seller_state,seller_total_orders,seller_revenue,seller_avg_review,seller_avg_delivery_days,seller_avg_processing_hours,seller_product_diversity,seller_avg_freight,seller_customer_count,seller_late_delivery_rate,seller_early_delivery_rate,seller_revenue_rank,seller_performance_tier,seller_avg_order_value,seller_review_count
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,3,218.70000000000002,3.0,13.018587962962963,0.4985185185185185,3,9.299999999999999,3,33.33333333333333,66.66666666666666,2227,Silver,72.9,3
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,40,11703.07,4.560975609756097,9.065716435185184,11.605027100271004,30,35.0909756097561,40,2.4390243902439024,92.6829268292683,257,Platinum,292.57675,41
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,1,158.0,5.0,4.042291666666666,0.41083333333333333,1,16.21,1,0.0,100.0,2365,Bronze,158.0,1
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,1,79.99,5.0,5.6671875,0.3011111111111111,1,15.66,1,0.0,100.0,2568,Bronze,79.99,1
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,1,167.99,1.0,35.314861111111114,0.18777777777777777,1,31.93,1,100.0,0.0,2342,Bronze,167.99,1
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,1,59.9,4.0,6.056956018518519,0.24972222222222223,1,13.99,1,0.0,100.0,2630,Bronze,59.9,1
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,35,3654.25,4.416666666666667,11.653800595238096,13.770393518518517,31,32.65166666666667,35,0.0,97.22222222222221,735,Platinum,104.40714285714286,36
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,30,3987.6,4.242424242424242,11.376438172043011,12.497979797979799,8,27.582727272727272,30,0.0,90.9090909090909,675,Platinum,132.92,33
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,17,587.46,4.647058823529412,5.081859340958606,19.328333333333333,8,10.602352941176472,17,11.76470588235294,82.35294117647058,1733,Silver,34.5564705882353,17
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,187,74004.62,4.282722513089006,15.853247415735842,12.320814525462962,12,27.380104166666666,187,6.25,91.14583333333334,21,Platinum,395.7466310160428,191
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,2,138.0,3.0,16.01363425925926,0.6501388888888889,1,22.185,2,0.0,50.0,2421,Bronze,69.0,2
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,3,307.6,3.75,9.169887152777777,16.77673611111111,4,16.3675,3,0.0,100.0,2070,Silver,102.53333333333335,4
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,33,4455.34,4.205882352941177,10.124262235449736,13.855650793650794,10,27.65657142857143,33,2.857142857142857,97.14285714285714,622,Platinum,135.01030303030302,34
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,1,42.9,5.0,11.276516203703704,0.9777777777777777,1,16.49,1,0.0,100.0,2683,Bronze,42.9,1
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,5,2244.2799999999997,4.8,21.90199074074074,19.368111111111112,3,74.404,5,20.0,80.0,950,Gold,448.85599999999994,5
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,1,2749.0,1.0,10.39494212962963,23.864166666666666,1,69.74,1,0.0,100.0,861,Gold,2749.0,1
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,2,78.8,5.0,14.728483796296295,12.40263888888889,1,15.1,2,0.0,100.0,2574,Bronze,39.4,2
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,30,2066.8,4.5,12.689117476851852,8.345217013888888,17,20.9609375,30,9.375,87.5,998,Gold,68.89333333333335,32
